text,assistant
"Yes.","[LOCATION] [LOCATION] [LOCATION] [LOCATION], [LOCATION] [LOCATION]. Yes. Delivery is expected around 1 hour time. You're going to be all right for that."
"That's fine, yeah.","All right. Wonderful. Let's begin. What would you like to order, please?"
"Could we please have garlic bread?","Garlic bread. Okay. And."
"Main serving of spaghetti and meatballs?","[ITEM_NAME]. Main serving of it. Okay. And anything else?"
"Yes, main serving of the carbonara.","Okay. Which pasta is going to be fettuccine? Fettuccine. Done. What else?"
"And a large bottle of coke, no sugar, please.","Okay. [ITEM_SIZE] bottle of coke, no sugar. Let me just get that for you. That's fine. That's going to be 1.25 liter. Yeah."
"Is it possible to get extra bacon and onion in the carbonara?","Sure can. Let me just look that up. One moment. Carbonara. Yeah. What would you like to add to the carbonara?"
"The extra bacon and onion.","Okay. Adding. One moment, please. Yeah. Bacon added and onion. All to be added as well. Yeah. Onion added as well. There you go. Anything else?"
"That's a lot. Thank you.","Wonderful. So the total comes down to 57.50. [PERSON_NAME], did you want to pay this over the phone now with me, or will it be cash on delivery?"
"No, I'd rather pay now, if you don't mind.","Okay, sure. No problem. We can do that. One quick second. Right. Wonderful. I'm ready. Could I have the long card number, please?"
"[CREDIT_CARD_NUMBER] [CREDIT_CARD_NUMBER] [CREDIT_CARD_NUMBER].","You're breaking up. [CREDIT_CARD_NUMBER] [CREDIT_CARD_NUMBER] [CREDIT_CARD_NUMBER]. Okay."
"[CREDIT_CARD_NUMBER] [CREDIT_CARD_NUMBER]. [CREDIT_CARD_NUMBER].","Thank you very much. And expiry, please."
"[CREDIT_CARD_EXPIRATION].","1 second, please. And security, please."
"[CREDIT_CARD_CVV].","Okay, that's fine. Processing the card right now. Waiting for it to complete. I'll let you know it's gone through. Yeah, no problem. I'm just waiting for it. Beautiful. That's all done, [PERSON_NAME]. I'll see you in an hour's time. Okay."
"A reservation?","Yes, please."
"Okay, sure. Give me one quick second. Let me see if I can get you connected with the front desk. So I'm going to do that. Which day is it for, by the way?","Sorry?"
"Which day is it for, by the way?","Thursday the 10th, I believe it is. No, not Thursday the 10th. The Thursday coming."
"Thursday coming. Yeah, that's fine. No worries. I'll stay on the line. I'm transferring you now. Okay. Thank you. Cheers.","Town Country Pizza, how can I help you?"
"Hi, I was just looking to make a reservation for Thursday the 6th, so.","Thursday the 6th? Yes, please."
"Yeah. For how many people and what time?","Just two. 6:30."
"And could I just grab your name and phone number, please?","Of course. [PERSON_NAME] [PERSON_NAME]. Phone number? [PHONE_NUMBER], [PHONE_NUMBER], [PHONE_NUMBER]."
"Yes. [PHONE_NUMBER], [PHONE_NUMBER], [PHONE_NUMBER]. It. [PHONE_NUMBER], [PHONE_NUMBER]. [PHONE_NUMBER], [PHONE_NUMBER]. No worries. For Thursday the 6th under [PERSON_NAME] at 6:30 for two people. And your phone number?","[PHONE_NUMBER] Perfect. No worries. We'll see you on Thursday. Thank you so much."
"Can I get a Family Hawaiian pizza with no olives?","Certainly, one [ITEM_SIZE] [ITEM_NAME] pizza with no [ITEM_INGREDIENT] coming up."
"I'd like to order a Medium Pepperoni with extra onions, please.","Sure thing, one [ITEM_SIZE] [ITEM_NAME] pizza with extra [ITEM_INGREDIENT], please."
"Do you have the Fettuccine Metricana available today?","Yes, our [ITEM_NAME] is available today. Would you like to order it?"
"Is it possible to get the Oceana without capsicum?","Absolutely, we can prepare the [ITEM_NAME] without [ITEM_INGREDIENT] for you."
"I'm allergic to aioli, can it be removed from the Margherita pizza?","Of course, we can make the [ITEM_NAME] pizza without [ITEM_INGREDIENT] to accommodate your allergy."
"Yeah, it's [PHONE_NUMBER].","Thank you. Is that for [PERSON_NAME]?"
"Yeah.","Thank you. What would you like?"
"Can I get a large Aussie pizza, please?","Okay. Would you like anything else?"
"That's all, thanks.","Thank you. That's $23. It will be ready for you to pick up in 20 minutes time."
"Can I get your phone number first, please?","Sure, it's [PHONE_NUMBER]."
"Okay. [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER].","Yes, that's correct."
"Thank you. Is that for [PERSON_NAME]?","It is, yeah."
"Thank you. And would you like?","Just a [ITEM_SIZE] Margarita, please."
"Okay. Would you like anything else?","No, that's all. Thank you."
"Thank you. That's $28, and you can come and pick that up in 20 minutes.","Thanks very much. See you. Bye."
"Pickup. We're just across at the credit club.","Okay. Just a moment."
"Can I have your phone number, please?","[PHONE_NUMBER]."
"Is it for [PERSON_NAME]?","Yes, that's it."
"Can I grab. Is large your biggest size, or do you do, like, an extra large pizza?","We have large, then we have family. And then we have king."
"Okay, so can I have two family Aussies?","Okay. Just a moment."
"Two large Hawaiians.","Okay."
"And two large meat lovers, please. Actually, the meat lovers can be family as well. Sorry about that.","Okay. Two [ITEM_SIZE] [ITEM_NAME] pizzas."
"Yes. Two family Aussies, two large Hawaiians, and two family meat lovers.","Yeah, got it. All right. Two [ITEM_SIZE] Aussies, two [ITEM_SIZE] Hawaiians, and two [ITEM_SIZE] meat lovers. That would be $153.50. Perfect. In 20 minutes."
"Yes. [PHONE_NUMBER] thank you.","And the name, please?"
"[PERSON_NAME].","Thank you. And your order, please?"
"Can I get a small vegetarian pizza, a small gourmet spinach and bocconcini pizza?","Okay."
"A small country special, traditional pizza, a main Gnocchi, vegetarian with no cheese.","Sorry, vegetarian gnocchi with no cheese, is that correct?"
"Yes. And an entree, chicken pesto with penne, chicken pesto. Sorry. A penne chicken pesto.","Okay. Anything else?"
"No, just those five meals.","Thank you. You've got a [ITEM_SIZE] [ITEM_NAME], [ITEM_SIZE] spinach and bocconcini, [ITEM_SIZE] country special, a main gnocchi, vegetarian with no [ITEM_INGREDIENT] and an entree sized penne chicken pesto."
"Perfect. Thank you.","Thank you. That's $89 and it'll be ready for you to pick up in 20 minutes."
"Okay, sorry, have you placed the order with us?","Yes, it was placed online. I can give you an order ID."
"Okay, could you give me the name you placed the order under?","It's [PERSON_NAME] [PERSON_NAME]."
"Let me just check. Okay, that's good to be. Sorry, have you picked the order up?","No, we're in [LOCATION], not [LOCATION]. That's the problem. There's a [LOCATION] [LOCATION] in [LOCATION]. So my wife selected that [LOCATION] [LOCATION] and just gone? That's the one. Okay, we've ordered it at the wrong shop."
"All right, so what would you like me to do? Would you like me to?","Yeah, well, cancel our order and give us a refund so we can reorder our meal."
"All right. Okay. If you just bear with me, I'll transfer your call to management, let them know and they should cancel that for you.","Thank you."
"Thank you. Hello, town and Country Airport. This is [PERSON_NAME] speaking.","Hi, [PERSON_NAME], it's [PERSON_NAME] [PERSON_NAME] here. How are you?"
"Good, thank you.","That's good, [PERSON_NAME]. My wife placed an order about half an hour ago online."
"Yeah.","And when she placed it, she just selected the town and country in [LOCATION] [LOCATION] thinking that we were at the [LOCATION] [LOCATION] in [LOCATION]."
"I've had this problem a lot. I've had a lot of people normally call from [LOCATION] saying, that's where we are. Yeah, okay, so you clicked the wrong thing. Have you guys called the [LOCATION] [LOCATION] store?","I just went in there to try and sort it out with them and they're like a 45 minutes wait. So I said we might just grab a quick dinner for the kids and we'll have pizza another night. So I'm wondering if we can just get a refund or cancel our long order."
"Yeah, no, had. They haven't given you a pizza?","No, no."
"All good. So can I have the name?","The name was [PERSON_NAME] [PERSON_NAME]. Yep."
"And it was the medium southwest, medium roast lamb, small Americana, small pepperoni and the garlic bread.","That's all correct?"
"Yep, all good. I'll just check something real quick. I'll be right back.","No worries."
"Hey, [PERSON_NAME]. Order for [PERSON_NAME] [PERSON_NAME]. They're from [LOCATION]. They clicked the wrong store. They didn't get one from [LOCATION]. So they just want to refund from here? No. Yeah, just refund it. Okay. You should get a text message soon saying it should go through. It takes a couple of days for it to go back into the account. Yeah, it should take four to five days, to be exact, but no, we are putting it through now. We're so sorry about that.","No worries. Thanks, [PERSON_NAME]. I understand the confusion. As soon as I looked at the. We're not in [LOCATION]."
"It happens so much. Like, I get one of these at least three times a.","Yeah, right."
"Yeah. [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER].","Okay. Can I confirm that's for [PERSON_NAME]?"
"That's it.","Thank you. And what would you like?"
"I'll just get large half margarita, half barbecue pizza with no bacon.","With the bacon removed. Anything else?"
"I also get a large half pepperoni, half southwest chicken.","And half southwest chicken. Anything else?"
"That's all, thank you.","Thank you. You got a [ITEM_SIZE] [ITEM_NAME] pizza with the bacon removed and a [ITEM_SIZE] half [ITEM_NAME] pizza with the bacon removed and half margarita. Also a [ITEM_SIZE] pepperoni and southwest chicken."
"That's it.","Thank you. That's 41 50, and it should be ready for you to pick up in 20 minutes."
"Yeah, sure. Pickup or delivery, please.","Can I get a large half Aussie?"
"One moment. Is that pickup?","Yes, please."
"Okay, one quick second. Stay with me on the line. Right. Could I have your phone number to begin with, please?","[PHONE_NUMBER]."
"Yeah.","[PHONE_NUMBER], [PHONE_NUMBER], [PHONE_NUMBER]."
"Yeah.","[PHONE_NUMBER]."
"Okay, let's have a look. One moment. And I've got name on there. That's [PERSON_NAME].","Yes. All right."
"Welcome, [PERSON_NAME]. What would you like to order?","Can I have a large half Aussie, half country special?"
"Aussie one side and other side country special?","Done."
"Yeah. And can I have cheese on top of the country special side, please?","Extra [ITEM_INGREDIENT] to be added on country special?"
"Yeah.","Okay, 1 second, please. Okay, extra [ITEM_INGREDIENT] added. Is there anything else you would like to get?"
"Can I have another large half Hawaiian? Yeah, half Margherita, please.","Hawaiian and Margherita combo?"
"Yes, please. One moment.","Let me have a look. Quick second Hawaiian Margherita. And that's a [ITEM_SIZE] size, yeah?"
"Yes, please.","Any changes to this one in topping wise?"
"No, that's fine. Thanks.","Okay, that's fine. What else would you like?"
"It's just that. Thanks for tonight.","That's fine. So I'll read it back to you. So we have one [ITEM_SIZE] half and half pizza, half country special, half Aussie, and extra [ITEM_INGREDIENT] added to the country special side. Yeah."
"No, to the country special side, please.","To the country special. Okay, I'll modify that. It's no problem. And then a [ITEM_SIZE] Hawaiian and Margherita, half and half pizza. Yes, that's it."
"Yes, thanks.","Wonderful. Your total will be coming up as $42.50. It should be ready in the next 20 minutes for pickup at [LOCATION] [LOCATION] store."
"Okay, no worries. Thank you.","You're welcome. Have a nice one."
"Yes, we are. Would you like to place an order?","Yes, please."
"Thank you. Can I get your phone number first, please?","[PHONE_NUMBER]."
"Okay.","[PHONE_NUMBER]. Yep."
"Thank you. Is that for [PERSON_NAME]?","Yes."
"And it's [LOCATION] [LOCATION] [LOCATION]. [PERSON_NAME]. [PERSON_NAME].","Yes."
"Thank you. And what would you like?","Can I please get a small chicken pesto pasta? Can I please get extra mushrooms and extra pine nuts?"
"Okay. What pasta would you like with that?","Penne, please."
"Penne. And you'd like extra pine nuts.","And extra mushrooms."
"An extra mushroom. Anything else?","And I might just get a small Aussie pizza, please."
"Okay. Would you like anything else?","No, that's all."
"Okay, so you've got a small entree size penne, a chicken pesto with added pine nuts and mushrooms, and a small Aussie.","Yeah."
"Okay, perfect. That's $41, and it should be delivered to you in about an hour and ten minutes.","All right, thank you."
"[PHONE_NUMBER].","Thank you. Is that for [PERSON_NAME]?"
"Yeah.","And it's [LOCATION] [LOCATION]. You have a new [LOCATION] [LOCATION]?"
"That's right.","Thank you. And what would you like?"
"Could I get a medium half southwest chicken and half Aussie?","Okay. Anything else?"
"That's all. Thank you.","Okay. The minimum delivery is $30. I'm afraid it's only up to 26. Would you like to add garlic bread or anything to that?"
"Yeah, that'd be fine.","Okay, perfect. That's $33. Would you like to pay by cash or card?"
"Cash.","So it's $33 and it should be delivered to you in 20 minutes."
"20 minutes.","Sorry. An hour. I'm so sorry. Pickup is 20 minutes. I'm so sorry. It should be with you in an hour's time. Thank you."
"No, our group's booked for tonight.","Great, could you tell me the name the reservation is under so I can confirm your booking?"
"Have, yeah, for [LOCATION], but I'm just not sure where in the whole shopping center. Is it next to the theater or is it near Coles?","We are located next to Coles in the shopping center."
"Oh, it is next to Coles. Great. And the last thing, I hope you don't mind me asking, because I'm celiac. Have you got a few gluten free options?","Yes, we offer gluten free options. For example, we can prepare a [ITEM_NAME] with a gluten free base, but please note that it is only available in [ITEM_SIZE]."
"Yeah, that's right. But would you have gluten free risotto or something?","Certainly, our chef can prepare a gluten free risotto for you. Please mention your dietary requirements to our staff when you arrive."
"And because we're seeing a movie at 6:15, I just thought it might save you time, if you know what I mean.","I understand, it's good to plan ahead. We'll make sure to accommodate your schedule so you can enjoy your meal and make it to your movie on time."
"Nine.","What time?"
"06:00 p.m. please.","06:00 p.m. No worries. Can I please just grab a name and phone number?"
"Yes, her name is [PERSON_NAME]. And my phone number?","[PHONE_NUMBER] what was the last?"
"[PHONE_NUMBER].","That's it. No worries. So for tomorrow, nine people at 06:00 for [PERSON_NAME]. And then the phone number was [PHONE_NUMBER] that's it. No worries. We'll see you tomorrow."
"Yeah, it's [PHONE_NUMBER].","Thank you. Is that for [PERSON_NAME]?"
"For [PERSON_NAME] and. Yeah.","Thank you. What would you like?"
"We would like one large country special with no hot salami and no mushrooms.","So you'd like the hot salami removed and the mushrooms removed? Anything else?"
"Yes. No, that's all for that. And then can we get a large Hawaiian with extra cheese on top, please?","Okay. Would you like anything else?"
"No, that's all. Thank you.","Okay, you'd like the cheese on top of the [ITEM_NAME]? That's a [ITEM_SIZE] country special with the mushrooms and the hot salami removed and the [ITEM_SIZE] [ITEM_NAME] with extra [ITEM_INGREDIENT] on top. That's 42 50. It'll be ready for you to pick up in 20 minutes."
"I want a family.","Family size. What flavors are we talking?"
"Four corners.","Family size. Four corner. Let's begin. What's the first quarter going to be, please?"
"Vegetarian with extra ham and salami.","Okay, one [ITEM_SIZE] [ITEM_NAME] with extra [ITEM_INGREDIENT] and [ITEM_INGREDIENT]. I've got hot [ITEM_INGREDIENT]. This is the only one we do. So we're good."
"What else can I get? An Aussie with extra egg.","An Aussie with an extra [ITEM_INGREDIENT]. Let me pull that one in for you. One moment. Okay, that is done. Wonderful. What's the next piece?"
"Barbecue chicken.","Barbecue chicken. Let's pull that one out. Yeah, done. Any changes to that one?"
"No, that's all right. And the tomato chicken with extra mushroom and onion.","Tomato chicken. Which one is that?"
"Just a tomato based chicken they do with.","Let's have a look. Tomato based. I'll select [ITEM_NAME] and add chicken to it. And I'll modify that. Does that sound better that way?"
"No, the chef knows. Just the guy with the beards there. He knows how to do it. It's just tomato based chicken with extra mushroom and onion.","Okay, give me 1 second. Stay with me on the line here."
"Is there anything else you like to get, mate?","No, that's it. Thank you."
"Okay, no worries. Let me just check the total for you, mate. One moment.","That total comes down to $36. Do you not need any drinks or dessert?"
"The call is in regards to a few positive feedback, the reviews. So I'm calling to speak to the owner of the business. Is the owner available?","Okay, yeah, I'll just transfer your call."
"Hi, how can I help you?","Yes, hi. I believe I'm speaking to the owner of the business. Right. Not actually. You want to speak to the owner?"
"Yeah, that's right. Is the owner available?","Just a minute, please."
"And you're in [LOCATION] [LOCATION], right? And we have some of the signs in and around just for you to get an idea. I can give you some of the businesses who have signed up with us. Do you know happy union?","Yes. Hi there. How are you?"
"Good, thank you. Yeah, wonderful. I'm [PERSON_NAME], and it's a call from Food Hub. So basically, we are a commission-free food ordering platform, and we, unlike Uber Eats, maintain a stronghold in the market. The difference with us is that we help you guys to generate online orders for no commissions for a lifetime. So are you using services like Uber Eats, Mainlock?","Unfortunately, we actually own all of our online platform and all of our ordering services, so we are not in a position that we need to partner with anyone because we've developed our own, much like you're offering. Probably a little inefficient in comparison, but we are actually completely independent of all third parties. Thank you."
"I see. So you mean you have your own POS system, you have your own online ordering website and everything?","We have an online ordering platform that integrates into our POS system. Absolutely. And we have our driver tracking facilities, the whole lot, all intertwined with our company. So I appreciate your call, but unfortunately, we're not really taking on any third party integrations or even third party offerings because of that reason."
"Yes, [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER] thank you very much.","Let's have a look. And your name, please, sir?"
"[PERSON_NAME].","[PERSON_NAME], yeah."
"And was it a hot pepperoni pizza you wanted?","Yes, a hot pepperoni pizza."
"What size are we selecting, sir?","We do [ITEM_SIZE], we do small, we do large. Extra large? You tell me."
"Yeah, I'll get a medium, please.","One [ITEM_SIZE] [ITEM_NAME] pizza. Just on its own?"
"Yeah, that's it.","All done. No drinks, no garlic bread?"
"No, that's it. Thank you.","That's fine. So we're all set for [PERSON_NAME], one [ITEM_SIZE] [ITEM_NAME] pizza. Total is $21 and you can pick it up in the next 20 minutes at [PERSON_NAME]."
"Okay, I'll just transfer your call to management because they can make modifications and they should be able to do that for you.","Okay, thank you."
"Thank you.","Tannin Country Pizza, how can I help you? Yes, [PERSON_NAME] my name. Ordered a couple of pizzas about five minutes ago. Can I change my medium to a large? Thanks. Is that possible?"
"Was it a medium country special with olives and no pineapple? Is that.","Yes, that's correct. Thank you."
"[PHONE_NUMBER].","Okay."
"[PHONE_NUMBER], [PHONE_NUMBER], [PHONE_NUMBER].","Thank you."
"That's correct.","Thank you. What would you like?"
"Can I get a family sized pizza with [PERSON_NAME]?","Okay. An extra [ITEM_INGREDIENT]. Would you like anything else?"
"An extra egg.","An extra [ITEM_INGREDIENT]. Would you like anything else?"
"That's all, thanks.","You've got a [ITEM_SIZE] [ITEM_NAME] with extra [ITEM_INGREDIENT]. That's $29 and you can come and pick that up in 20 minutes."
"For pickup.","Can I get your phone number first, please?"
"Yeah, it's [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER].","Thank you. Confirm if that for [PERSON_NAME]?"
"Yes.","Thank you. And what would you like?"
"Can I please get a large Southwest chicken pizza.","And a [ITEM_SIZE] [ITEM_NAME]?"
"Large country special, please?","Okay. Anything else?"
"That's all. Thank you.","Thank you. A [ITEM_SIZE] Southwest chicken and a [ITEM_SIZE] country special. That's $41.50. And you can come and pick that up in 20 minutes."
"[PHONE_NUMBER].","All right, just a moment. Is it for [PERSON_NAME] [PERSON_NAME]?"
"That's correct. Thank you.","All right. What would you like to order?"
"A medium town special.","Okay. Would you like any customizations?"
"Thin base and extra anchovies, please.","Okay. Anything else?"
"No, that's all. Thank you.","All right. A [ITEM_SIZE] [ITEM_NAME] with thin base and extra [ITEM_INGREDIENT]. That would be $20, and you can pick it up in 20 minutes?"
"Yeah, I just want to put an order.","Yeah, you want to place an order for pickup or delivery?"
"For pickup, please.","For pickup? Yeah, we can do that. I would need your phone number. Can you provide me one, please?"
"It. [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER].","[PHONE_NUMBER] yeah. Okay, let's have a look. Is that under name [PERSON_NAME]?"
"Yeah.","All right. Welcome, [PERSON_NAME]. Let's begin. What would you like to order, please?"
"Can I please grab one medium barbecue chicken pizza?","One [ITEM_SIZE] barbecue chicken pizza. Done. What else?"
"And a small barbecue chicken pizza, please.","And a [ITEM_SIZE] one as well. Okay, so I have a [ITEM_SIZE] chicken barbecue pizza and a [ITEM_SIZE] chicken barbecue pizza. Is that correct?"
"Yes.","Okay. Anything else you would like to get?"
"No, it's okay. Thanks.","Okay, that totals to $38. It will be ready for pickup in the next 20 minutes."
"And the name, please?","[PERSON_NAME]."
"[PERSON_NAME].","Yes. Thank you."
"And what would you like?","Please grab the four gusta, I think it's called."
"Okay, what size?","Large. Thanks."
"Can I get Aussie Margarita, barbecue, pizza and Hawaiian?","Okay. Would you like anything else?"
"Not on that one. Okay, and then can I get a large barbecue, pizza by itself and a small Hawaiian.","Okay."
"And a garlic bread?","And a garlic bread. Would you like anything else?"
"That's all, thank you.","Thank you. That's a [ITEM_SIZE] four quarters. You've got a quarter Aussie, quarter Margarita, quarter barbecue, and quarter Hawaiian. You've got a [ITEM_SIZE] barbecue, meat lovers, a [ITEM_SIZE] Hawaiian and a serving of garlic bread."
"Sorry, what was it?","The quarters, did you say the quarters were? Quarter Aussie, quarter Margarita, quarter barbecue and quarter Hawaiian."
"Yeah, perfect. Sorry.","Thank you. That's 62 50. It will be ready for you to pick up in 20 minutes."
"No worries. Thank you very much.","You're very welcome. Bye bye."
"Delivery. Please deliver me.","Can I get your phone number?"
"Delivery is fine.","So we can add, like, a Coke to make that the $30?"
"Yes. Fine. Yeah, he'll be there on the door. What do you think?","So just to make it the $30, he wants to add a cart. So he gets a discount."
"Hey, [PERSON_NAME], how are you? Good, thanks. How are you having? I'm good. So, [PERSON_NAME], the minimum delivery order is $30. So you have to make an order of $60 to get a discount for $30. Is the family want some pizzas tonight? No, it's just me. And is your house too far from here? If you can walk? If I order $60 worth of pizza, you just pay $30?","Yeah, you just pay $30. Maybe just two of the pizzas I'm ordering. So you want two of them? Yeah, if that's all right. If you want two of them, that is now 26. And I have add a garlic bread as well for you. Yeah. And if you want a bottle of drink or something. Yeah, it's catfish. Normal coke or Coke zero. Normal catfish. All right, so that is now for you. It's a two town special with no anchovies knowledge. Yeah. A garlic bread and a bottle of coke. Yeah, well, you just pay $28.40 for two pieces garlic bread and Coke. And [PERSON_NAME] will take the payment details now if you want."
"Yeah, it's just on card, if that's right.","Hi, I'm back. Sorry, you confused me too much. Is it just card over the phone? Yeah, I'll just grab your card number."
"It should already be in there. Or does it not say.","It doesn't say."
"The number is [CREDIT_CARD_NUMBER]. [CREDIT_CARD_NUMBER] [CREDIT_CARD_NUMBER] Yep. [CREDIT_CARD_NUMBER] and the expiry.","And just the CCV?"
"[CREDIT_CARD_CVV]. Yeah.","Awesome. That one just takes a second to go through. Perfect. That one is all been paid for and it should be there in around an hour."
"You want to cancel it?","No, I want to increase it to ten people instead of six."
"Actually, I can't hear you properly. How many have we booked for? How many people?","Six people."
"Okay. Can I make that ten?","Yeah, sure. That's all set for you."
"How many people?","Ten."
"310 people. Hi, you there is a ten.","Yes, can you hear me now? Can we please make it ten people?"
"[PHONE_NUMBER] thank you. Let me check. And is that for [PERSON_NAME]?","[PERSON_NAME]."
"[LOCATION] [LOCATION]. [LOCATION] [LOCATION] [LOCATION].","Yeah. [LOCATION] [LOCATION]. [LOCATION] [LOCATION] [LOCATION]."
"One quick second. Stay with me. 1 second, please. Yeah, we can do that. All right. Welcome, madam. What would you like to order, please?","And what you got down now? What did you put as my address?"
"Your address is [LOCATION] [LOCATION], [LOCATION] [LOCATION] [LOCATION] [LOCATION].","That's good."
"Medium pizza.","What flavor, please?"
"Half and half Hawaiian and half country special.","One [ITEM_SIZE] pizza with half [ITEM_NAME] and half country special. Anything else for you, madam?"
"Just the garlic bread, please.","And a garlic bread. Wonderful. That's all added on for you. The total comes down to $31. Did you want to pay this over the phone now with me, or will it be cash, madam?"
"Now, I'll pay over.","Okay. Stay with me. Yeah, sure. Give me 1 second. Right. May I have the long card number, please?"
"[CREDIT_CARD_NUMBER]. [CREDIT_CARD_NUMBER] [CREDIT_CARD_NUMBER] [CREDIT_CARD_NUMBER].","Okay. Expiry, please?"
"[CREDIT_CARD_NUMBER] thank you. Expiry, please is.","Sorry. Say that again, please. Okay. And security, please."
"[CREDIT_CARD_CVV] [CREDIT_CARD_CVV] [CREDIT_CARD_CVV].","Okay, I'll repeat this back. [CREDIT_CARD_CVV] [CREDIT_CARD_CVV] [CREDIT_CARD_CVV]."
"Yes. Yes.","Okay. Processing that right now, madam. Bear with me one moment."
"Deliveries are, however, 45 minutes. Okay. Just so that you know.","Okay, wonderful."
"[PHONE_NUMBER]? [PHONE_NUMBER] [PHONE_NUMBER], [PHONE_NUMBER] [PHONE_NUMBER], [PHONE_NUMBER] [PHONE_NUMBER].","Thank you very much. Adding that. [PERSON_NAME] [PERSON_NAME]?"
"Yeah, that's it.","Thank you. What would you like to order?"
"Could I please order a family four corners, please?","Certainly. One [ITEM_SIZE] four corners. What would you like on each quarter?"
"Have half. So two quarters with [LOCATION] chicken with no onion, please.","Two quarters with [LOCATION] chicken with no [ITEM_INGREDIENT]. And the other two quarters?"
"And then another quarter of the barbecue chicken.","One quarter of [ITEM_NAME] chicken. And for the last quarter?"
"And then the other quarter. Country special with [LOCATION] sauce, please.","One quarter of country special with [LOCATION] sauce. Let me confirm your order."
"Yes.","Okay. Half would be [LOCATION] chicken with no [ITEM_INGREDIENT], one quarter [ITEM_NAME] chicken and one quarter country special with added [LOCATION] sauce. It's a [ITEM_SIZE] size. Is that correct?"
"Yes. That's it.","Thanks. Anything else beside that, sir?"
"No, that's it. Thank you.","Okay, sir. Your total will be $27, and your order will be ready for pickup in 20 minutes, around 7:05. Great."
"Thank you.","You're welcome, sir. See you then."
"Can I get your phone number first, please?","[PHONE_NUMBER]."
"Thank you. Is that for [PERSON_NAME]?","Yes."
"Thank you. What would you like?","Could I get a southwest chicken pizza?"
"What size?","Large, please."
"Okay. Anything else?","Sorry? Is there capsicum on that pizza?"
"Yeah, there's capsicum. Would you like it removed?","Yeah. Can I get that taken off, please?"
"Would you like anything else?","No, thank you."
"Thank you. That's a large southwest chicken with capsicum removed?","Yeah. And. Sorry. Can I get a garlic bread as well? Sorry."
